Community,Community Name,Ascot Vale (Suburb),,
,Region,Northern and Western Metropolitan,,
Geography,Map reference,4,,
,Grid reference,B3,,
,Location,6km NW of Melbourne,,
,Population Density,"3,758.6",,
,Travel time to GPO (minutes),9,,
,Distance to GPO (km),7,,
,LGA,Moonee Valley (C),,
,Primary Care Partnership,Inner North West Primary Care Partnership,,
,Medicare Local,Inner North West Melbourne,,
,Area (km^2),3.8,,
,ARIA+ (min),0.00,,
,ARIA+ (max),0.00,,
,ARIA+ (avg),0.00,,
,ABS remoteness category,Major Cities of Australia,,
,DHS Area,Western Melbourne,,
Land Use,Commercial (km^2),0.11,,
,Commercial (%),2.9,,
,Industrial (km^2),0.01,,
,Industrial (%),0.1,,
,Residential (km^2),2.89,,
,Residential (%),75.5,,
,Rural (km^2),0.00,,
,Rural (%),0.0,,
,Other (km^2),0.83,,
,Other (%),21.5,,
2012 population,"2012 ERP age 0-4, persons","1,135",,
,"2012 ERP age 0-4, %",7.9,,
,"2012 ERP age 5-9, persons",804,,
,"2012 ERP age 5-9, %",5.6,,
,"2012 ERP age 10-14, persons",619,,
,"2012 ERP age 10-14, %",4.3,,
,"2012 ERP age 15-19, persons",575,,
,"2012 ERP age 15-19, %",4.0,,
,"2012 ERP age 20-24, persons","1,229",,
,"2012 ERP age 20-24, %",8.5,,
,"2012 ERP age 25-44, persons","5,335",,
,"2012 ERP age 25-44, %",37.0,,
,"2012 ERP age 45-64, persons","3,240",,
,"2012 ERP age 45-64, %",22.5,,
,"2012 ERP age 65-69, persons",436,,
,"2012 ERP age 65-69, %",3.0,,
,"2012 ERP age 70-74, persons",344,,
,"2012 ERP age 70-74, %",2.4,,
,"2012 ERP age 75-79, persons",274,,
,"2012 ERP age 75-79, %",1.9,,
,"2012 ERP age 80-84, persons",234,,
,"2012 ERP age 80-84, %",1.6,,
,"2012 ERP age 85+, persons",191,,
,"2012 ERP age 85+, %",1.3,,
,"2012 ERP, total","14,416",,
2007 population,"2007 ERP age 0-4, persons",848,,
,"2007 ERP age 0-4, %",6.4,,
,"2007 ERP age 5-9, persons",665,,
,"2007 ERP age 5-9, %",5.0,,
,"2007 ERP age 10-14, persons",611,,
