Community,Community Name,Malvern (Suburb),,
,Region,Southern Metropolitan,,
Geography,Map reference,1,,
,Grid reference,C2,,
,Location,8km SE of Melbourne,,
,Population Density,"3,686.4",,
,Travel time to GPO (minutes),12,,
,Distance to GPO (km),12,,
,LGA,Stonnington (C),,
,Primary Care Partnership,Inner South East Partnership in Community & Health,,
,Medicare Local,Bayside,,
,Area (km^2),2.7,,
,ARIA+ (min),0.00,,
,ARIA+ (max),0.00,,
,ARIA+ (avg),0.00,,
,ABS remoteness category,Major Cities of Australia,,
,DHS Area,Bayside Peninsula,,
Land Use,Commercial (km^2),0.13,,
,Commercial (%),4.7,,
,Industrial (km^2),0.00,,
,Industrial (%),0.0,,
,Residential (km^2),2.31,,
,Residential (%),84.0,,
,Rural (km^2),0.00,,
,Rural (%),0.0,,
,Other (km^2),0.31,,
,Other (%),11.3,,
2012 population,"2012 ERP age 0-4, persons",590,,
,"2012 ERP age 0-4, %",5.8,,
,"2012 ERP age 5-9, persons",653,,
,"2012 ERP age 5-9, %",6.4,,
,"2012 ERP age 10-14, persons",567,,
,"2012 ERP age 10-14, %",5.6,,
,"2012 ERP age 15-19, persons",504,,
,"2012 ERP age 15-19, %",5.0,,
,"2012 ERP age 20-24, persons",767,,
,"2012 ERP age 20-24, %",7.6,,
,"2012 ERP age 25-44, persons","2,863",,
,"2012 ERP age 25-44, %",28.2,,
,"2012 ERP age 45-64, persons","2,534",,
,"2012 ERP age 45-64, %",25.0,,
,"2012 ERP age 65-69, persons",508,,
,"2012 ERP age 65-69, %",5.0,,
,"2012 ERP age 70-74, persons",370,,
,"2012 ERP age 70-74, %",3.7,,
,"2012 ERP age 75-79, persons",322,,
,"2012 ERP age 75-79, %",3.2,,
,"2012 ERP age 80-84, persons",217,,
,"2012 ERP age 80-84, %",2.1,,
,"2012 ERP age 85+, persons",241,,
,"2012 ERP age 85+, %",2.4,,
,"2012 ERP, total","10,136",,
2007 population,"2007 ERP age 0-4, persons",629,,
,"2007 ERP age 0-4, %",6.7,,
,"2007 ERP age 5-9, persons",546,,
,"2007 ERP age 5-9, %",5.8,,
,"2007 ERP age 10-14, persons",480,,
,"2007 ERP age 10-14, %",5.1,,
,"2007 ERP age 15-19, persons",575,,
,"2007 ERP age 15-19, %",6.1,,
,"2007 ERP age 20-24, persons",810,,
,"2007 ERP age 20-24, %",8.6,,
,"2007 ERP age 25-44, persons","2,677",,
,"2007 ERP age 25-44, %",28.4,,
,"2007 ERP age 45-64, persons","2,305",,
,"2007 ERP age 45-64, %",24.4,,
,"2007 ERP age 65-69, persons",397,,
,"2007 ERP age 65-69, %",4.2,,
,"2007 ERP age 70-74, persons",351,,
,"2007 ERP age 70-74, %",3.7,,
,"2007 ERP age 75-79, persons",268,,
,"2007 ERP age 75-79, %",2.8,,
,"2007 ERP age 80-84, persons",226,,
,"2007 ERP age 80-84, %",2.4,,
,"2007 ERP age 85+, persons",177,,
,"2007 ERP age 85+, %",1.9,,
,"2007 ERP, total","9,441",,
2007-2012 population change,"% change, 2007-2012, age 0-4",-6.2,,
,"% change, 2007-2012, age 5-9",19.6,,
,"% change, 2007-2012, age 10-14",18.1,,
,"% change, 2007-2012, age 15-19",-12.4,,
,"% change, 2007-2012, age 20-24",-5.3,,
,"% change, 2007-2012, age 25-44",7.0,,
,"% change, 2007-2012, age 45-64",9.9,,
,"% change, 2007-2012, age 65-69",27.9,,
,"% change, 2007-2012, age 70-74",5.6,,
,"% change, 2007-2012, age 75-79",20.3,,
,"% change, 2007-2012, age 80-84",-4.0,,
,"% change, 2007-2012, age 85+",36.3,,
,"% change, 2007-2012, total",7.4,,
Services,Public Hospitals,0,,
,Private Hospitals,4,,
,Community Health Centres,0,,
,Bush Nursing Centres,0,,
,Allied Health,12,,
,Alternative Health,7,,
,Child Protection and Family,0,,
,Dental,8,,
,Disability,4,,
,General Practice,6,,
,Homelessness,0,,
,Mental Health,11,,
,Pharmacies,5,,
,Aged Care (High Care),52,,
,Aged Care (Low Care),61,,
,Aged Care (SRS),0,,
,Kinder and/or Childcare,0,,
,Primary Schools,2,,
,Secondary Schools,0,,
,P12 Schools,2,,
,Other Schools,0,,
,Centrelink Offices,0,,
,Medicare Offices,0,,
,Medicare Access Points,0,,
Socio-demographic,Number of Households,"3,739",,
,Average persons per household,2.5,,
,Occupied private dwellings,"3,733",,
,"Occupied private dwellings, %",91.6,,
,Population in non-private dwellings,337,,
,Public Housing Dwellings,21,,
,% dwellings which are public housing,0.5,,
,Dwellings with no motor vehicle,306,,
,"Dwellings with no motor vehicle, %",7.5,,
,Dwellings with no internet,423,,
,"Dwellings with no internet, %",10.4,,
,Equivalent household income <$600/week,611,,
,"Equivalent household income <$600/week, %",19.1,,
,"Personal income <$400/week, persons","2,078",,
,"Personal income <$400/week, %",28.7,,
,Number of families,"2,414",,
,Female-headed lone parent families,221,,
,"Female-headed lone parent families, %",9.2,,
,Male-headed lone parent families,38,,
,"Male-headed lone parent families, %",1.6,,
,% residing near PT,100.0,,
,IRSD (min),1059,,
,IRSD (max),1147,,
,IRSD (avg),1103,,
,Primary school students,786,,
,Secondary school students,584,,
,TAFE students,92,,
,University students,701,,
,"Holds degree or higher, persons","3,559",,
,"Holds degree or higher, %",73.2,,
,"Did not complete year 12, persons","1,473",,
,"Did not complete year 12, %",20.1,,
,"Unemployed, persons",205,,
,"Unemployed, %",4.1,,
,"Volunteers, persons","1,795",,
,"Volunteers, %",24.8,,
,"Requires assistance with core activities, persons",295,,
,"Requires assistance with core activities, %",3.3,,
,"Aged 75+ and lives alone, persons",285,,
,"Aged 75+ and lives alone, %",3.0,,
,"Unpaid carer to person with disability, persons",949,,
,"Unpaid carer to person with disability, %",13.1,,
,"Unpaid carer of children, persons","2,185",,
,"Unpaid carer of children, %",29.9,,
,Top industry,"Professional, Scientific and Technical Services",,
,"Top industry, %",17.2,,
,2nd top industry - persons,Health Care and Social Assistance,,
,"2nd top industry, %",14.8,,
,3rd top industry - persons,Retail Trade,,
,"3rd top industry, %",9.9,,
,Top occupation,Professionals,,
,"Top occupation, %",40.9,,
,2nd top occupation - persons,Managers,,
,"2nd top occupation, %",19.9,,
,3rd top occupation - persons,Clerical and Administrative Workers,,
,"3rd top occupation, %",13.2,,
Diversity,"Aboriginal or Torres Strait Islander, persons",<5,,
,"Aboriginal or Torres Strait Islander, %",n/a,,
,"Born overseas, persons","2,333",,
,"Born overseas, %",25.7,,
,"Born in non-English speaking country, persons","1,553",,
,"Born in non-English speaking country, %",17.1,,
,"Speaks LOTE at home, persons","1,602",,
,"Speaks LOTE at home, %",17.6,,
,"Poor English proficiency, persons",213,,
,"Poor English proficiency, %",2.3,,
,Top country of birth,India,,
,"Top country of birth, persons",634,,
,"Top country of birth, %",3.5,,
,2nd top country of birth,England,,
,"2nd top country of birth, persons",610,,
,"2nd top country of birth, %",3.4,,
,3rd top country of birth,New Zealand,,
,"3rd top country of birth, persons",372,,
,"3rd top country of birth, %",2.1,,
,4th top country of birth,China,,
,"4th top country of birth, persons",350,,
,"4th top country of birth, %",1.9,,
,5th top country of birth,Greece,,
,"5th top country of birth, persons",318,,
,"5th top country of birth, %",1.8,,
,Top language spoken,Greek,,
,"Top language spoken, persons",366,,
,"Top language spoken, %",4.0,,
,2nd top language spoken,Mandarin,,
,"2nd top language spoken, persons",190,,
,"2nd top language spoken, %",2.1,,
,3rd top language spoken,Italian,,
,"3rd top language spoken, persons",123,,
,"3rd top language spoken, %",1.4,,
,4th top language spoken,Cantonese,,
,"4th top language spoken, persons",89,,
,"4th top language spoken, %",1.0,,
,5th top language spoken,Gujarati,,
,"5th top language spoken, persons",86,,
,"5th top language spoken, %",0.9,,
Hospital,"Public hospital separations, 2012-13","1,132",,
,Nearest Public Hospital,Caulfield General Medical Centre,,
,Travel time to nearest public hospital,5,,
,Distance to nearest public hospital,4,,
,"Obstetric type separations, 2012-13",33,,
,Nearest public hospital with maternity services,Monash Medical Centre (Clayton),,
,Time to nearest public hospital with maternity services,14,,
,Distance to nearest public hospital with maternity services,12,,
,"Presentations to emergency departments, 2012-13",792,,
,Nearest public hospital with emergency department,The Alfred,,
,Travel time to nearest public hospital with emergency department,7,,
,Distance to nearest public hospital with emergency department,5,,
,Presentations to emergency departments due to injury,155,,
,"Presentations to emergency departments due to injury, %",19.6,,
,Category 4 & 5 emergency department presentations,406,,
,"Category 4 & 5 emergency department presentations, %",51.2,,
