Community,Community Name,Somerville (Suburb),,
,Region,Southern Metropolitan,,
Geography,Map reference,5,,
,Grid reference,E2,,
,Location,49km SSE of Melbourne,,
,Population Density,749.1,,
,Travel time to GPO (minutes),46,,
,Distance to GPO (km),63,,
,LGA,Mornington Peninsula (S),,
,Primary Care Partnership,Frankston - Mornington Peninsula Primary Care Partnership,,
,Medicare Local,Frankston - Mornington Peninsula,,
,Area (km^2),13.9,,
,ARIA+ (min),0.00,,
,ARIA+ (max),0.00,,
,ARIA+ (avg),0.00,,
,ABS remoteness category,Major Cities of Australia,,
,DHS Area,Bayside Peninsula,,
Land Use,Commercial (km^2),0.15,,
,Commercial (%),1.1,,
,Industrial (km^2),0.39,,
,Industrial (%),2.8,,
,Residential (km^2),8.11,,
,Residential (%),58.5,,
,Rural (km^2),3.84,,
,Rural (%),27.7,,
,Other (km^2),1.37,,
,Other (%),9.9,,
2012 population,"2012 ERP age 0-4, persons",669,,
,"2012 ERP age 0-4, %",6.4,,
,"2012 ERP age 5-9, persons",723,,
,"2012 ERP age 5-9, %",7.0,,
,"2012 ERP age 10-14, persons",745,,
,"2012 ERP age 10-14, %",7.2,,
,"2012 ERP age 15-19, persons",782,,
,"2012 ERP age 15-19, %",7.5,,
,"2012 ERP age 20-24, persons",762,,
,"2012 ERP age 20-24, %",7.3,,
,"2012 ERP age 25-44, persons","2,600",,
,"2012 ERP age 25-44, %",25.0,,
,"2012 ERP age 45-64, persons","2,744",,
,"2012 ERP age 45-64, %",26.4,,
,"2012 ERP age 65-69, persons",428,,
,"2012 ERP age 65-69, %",4.1,,
,"2012 ERP age 70-74, persons",269,,
,"2012 ERP age 70-74, %",2.6,,
,"2012 ERP age 75-79, persons",250,,
,"2012 ERP age 75-79, %",2.4,,
,"2012 ERP age 80-84, persons",193,,
,"2012 ERP age 80-84, %",1.9,,
,"2012 ERP age 85+, persons",223,,
,"2012 ERP age 85+, %",2.1,,
,"2012 ERP, total","10,388",,
2007 population,"2007 ERP age 0-4, persons",723,,
,"2007 ERP age 0-4, %",7.1,,
,"2007 ERP age 5-9, persons",784,,
,"2007 ERP age 5-9, %",7.7,,
,"2007 ERP age 10-14, persons",820,,
,"2007 ERP age 10-14, %",8.0,,
,"2007 ERP age 15-19, persons",853,,
,"2007 ERP age 15-19, %",8.4,,
,"2007 ERP age 20-24, persons",731,,
,"2007 ERP age 20-24, %",7.2,,
,"2007 ERP age 25-44, persons","2,833",,
,"2007 ERP age 25-44, %",27.8,,
,"2007 ERP age 45-64, persons","2,376",,
,"2007 ERP age 45-64, %",23.3,,
,"2007 ERP age 65-69, persons",266,,
,"2007 ERP age 65-69, %",2.6,,
,"2007 ERP age 70-74, persons",233,,
,"2007 ERP age 70-74, %",2.3,,
,"2007 ERP age 75-79, persons",224,,
,"2007 ERP age 75-79, %",2.2,,
,"2007 ERP age 80-84, persons",193,,
,"2007 ERP age 80-84, %",1.9,,
,"2007 ERP age 85+, persons",150,,
,"2007 ERP age 85+, %",1.5,,
,"2007 ERP, total","10,189",,
2007-2012 population change,"% change, 2007-2012, age 0-4",-7.5,,
,"% change, 2007-2012, age 5-9",-7.8,,
,"% change, 2007-2012, age 10-14",-9.2,,
,"% change, 2007-2012, age 15-19",-8.4,,
,"% change, 2007-2012, age 20-24",4.2,,
,"% change, 2007-2012, age 25-44",-8.2,,
,"% change, 2007-2012, age 45-64",15.5,,
,"% change, 2007-2012, age 65-69",60.8,,
,"% change, 2007-2012, age 70-74",15.3,,
,"% change, 2007-2012, age 75-79",11.6,,
,"% change, 2007-2012, age 80-84",0.0,,
,"% change, 2007-2012, age 85+",48.3,,
,"% change, 2007-2012, total",2.0,,
Services,Public Hospitals,0,,
,Private Hospitals,0,,
,Community Health Centres,0,,
,Bush Nursing Centres,0,,
,Allied Health,7,,
,Alternative Health,4,,
,Child Protection and Family,0,,
,Dental,1,,
,Disability,0,,
,General Practice,4,,
,Homelessness,0,,
,Mental Health,1,,
,Pharmacies,1,,
,Aged Care (High Care),50,,
,Aged Care (Low Care),50,,
,Aged Care (SRS),0,,
,Kinder and/or Childcare,2,,
,Primary Schools,3,,
,Secondary Schools,1,,
,P12 Schools,0,,
,Other Schools,0,,
,Centrelink Offices,0,,
,Medicare Offices,0,,
,Medicare Access Points,0,,
Socio-demographic,Number of Households,"3,818",,
,Average persons per household,2.6,,
,Occupied private dwellings,"3,671",,
,"Occupied private dwellings, %",94.8,,
,Population in non-private dwellings,98,,
,Public Housing Dwellings,118,,
,% dwellings which are public housing,3.0,,
,Dwellings with no motor vehicle,163,,
,"Dwellings with no motor vehicle, %",4.2,,
,Dwellings with no internet,586,,
,"Dwellings with no internet, %",15.1,,
,Equivalent household income <$600/week,"1,117",,
,"Equivalent household income <$600/week, %",35.4,,
,"Personal income <$400/week, persons","2,782",,
,"Personal income <$400/week, %",37.2,,
,Number of families,"2,816",,
,Female-headed lone parent families,397,,
,"Female-headed lone parent families, %",14.1,,
,Male-headed lone parent families,57,,
,"Male-headed lone parent families, %",2.0,,
,% residing near PT,31.2,,
,IRSD (min),934,,
,IRSD (max),1120,,
,IRSD (avg),1029,,
,Primary school students,957,,
,Secondary school students,763,,
,TAFE students,270,,
,University students,241,,
,"Holds degree or higher, persons",796,,
,"Holds degree or higher, %",22.7,,
,"Did not complete year 12, persons","4,504",,
,"Did not complete year 12, %",59.5,,
,"Unemployed, persons",232,,
,"Unemployed, %",4.3,,
,"Volunteers, persons","1,248",,
,"Volunteers, %",16.5,,
,"Requires assistance with core activities, persons",447,,
,"Requires assistance with core activities, %",4.6,,
,"Aged 75+ and lives alone, persons",225,,
,"Aged 75+ and lives alone, %",2.2,,
,"Unpaid carer to person with disability, persons",905,,
,"Unpaid carer to person with disability, %",12.0,,
,"Unpaid carer of children, persons","2,565",,
,"Unpaid carer of children, %",33.8,,
,Top industry,Construction,,
,"Top industry, %",14.4,,
,2nd top industry - persons,Manufacturing,,
,"2nd top industry, %",13.5,,
,3rd top industry - persons,Retail Trade,,
,"3rd top industry, %",12.8,,
,Top occupation,Technicians and Trades Workers,,
,"Top occupation, %",21.3,,
,2nd top occupation - persons,Clerical and Administrative Workers,,
,"2nd top occupation, %",14.7,,
,3rd top occupation - persons,Professionals,,
,"3rd top occupation, %",14.2,,
Diversity,"Aboriginal or Torres Strait Islander, persons",62,,
,"Aboriginal or Torres Strait Islander, %",0.63,,
,"Born overseas, persons","1,477",,
,"Born overseas, %",15.2,,
,"Born in non-English speaking country, persons",369,,
,"Born in non-English speaking country, %",3.8,,
,"Speaks LOTE at home, persons",258,,
,"Speaks LOTE at home, %",2.6,,
,"Poor English proficiency, persons",15,,
,"Poor English proficiency, %",0.2,,
,Top country of birth,England,,
,"Top country of birth, persons",1586,,
,"Top country of birth, %",8.1,,
,2nd top country of birth,Scotland,,
,"2nd top country of birth, persons",264,,
,"2nd top country of birth, %",1.4,,
,3rd top country of birth,New Zealand,,
,"3rd top country of birth, persons",256,,
,"3rd top country of birth, %",1.3,,
,4th top country of birth,Netherlands,,
,"4th top country of birth, persons",134,,
,"4th top country of birth, %",0.7,,
,5th top country of birth,Germany,,
,"5th top country of birth, persons",130,,
,"5th top country of birth, %",0.7,,
,Top language spoken,Italian,,
,"Top language spoken, persons",43,,
,"Top language spoken, %",0.4,,
,2nd top language spoken,German,,
,"2nd top language spoken, persons",34,,
,"2nd top language spoken, %",0.3,,
,3rd top language spoken,Dutch,,
,"3rd top language spoken, persons",34,,
,"3rd top language spoken, %",0.3,,
,4th top language spoken,Mandarin,,
,"4th top language spoken, persons",17,,
,"4th top language spoken, %",0.2,,
,5th top language spoken,Greek,,
,"5th top language spoken, persons",15,,
,"5th top language spoken, %",0.2,,
Hospital,"Public hospital separations, 2012-13","2,135",,
,Nearest Public Hospital,Frankston Hospital,,
,Travel time to nearest public hospital,10,,
,Distance to nearest public hospital,10,,
,"Obstetric type separations, 2012-13",122,,
,Nearest public hospital with maternity services,Frankston Hospital,,
,Time to nearest public hospital with maternity services,10,,
,Distance to nearest public hospital with maternity services,10,,
,"Presentations to emergency departments, 2012-13","2,356",,
,Nearest public hospital with emergency department,Frankston Hospital,,
,Travel time to nearest public hospital with emergency department,10,,
,Distance to nearest public hospital with emergency department,10,,
,Presentations to emergency departments due to injury,698,,
,"Presentations to emergency departments due to injury, %",29.6,,
,Category 4 & 5 emergency department presentations,918,,
,"Category 4 & 5 emergency department presentations, %",39.0,,
