Community,Community Name,St Kilda West (Suburb),,
,Region,Southern Metropolitan,,
Geography,Map reference,1,,
,Grid reference,B2,,
,Location,5km S of Melbourne,,
,Population Density,"5,894.0",,
,Travel time to GPO (minutes),9,,
,Distance to GPO (km),6,,
,LGA,Port Phillip (C),,
,Primary Care Partnership,Inner South East Partnership in Community & Health,,
,Medicare Local,Bayside,,
,Area (km^2),0.5,,
,ARIA+ (min),0.00,,
,ARIA+ (max),0.00,,
,ARIA+ (avg),0.00,,
,ABS remoteness category,Major Cities of Australia,,
,DHS Area,Bayside Peninsula,,
Land Use,Commercial (km^2),0.00,,
,Commercial (%),0.0,,
,Industrial (km^2),0.00,,
,Industrial (%),0.0,,
,Residential (km^2),0.34,,
,Residential (%),63.7,,
,Rural (km^2),0.00,,
,Rural (%),0.0,,
,Other (km^2),0.19,,
,Other (%),36.3,,
2012 population,"2012 ERP age 0-4, persons",117,,
,"2012 ERP age 0-4, %",3.8,,
,"2012 ERP age 5-9, persons",67,,
,"2012 ERP age 5-9, %",2.2,,
,"2012 ERP age 10-14, persons",113,,
,"2012 ERP age 10-14, %",3.6,,
,"2012 ERP age 15-19, persons",73,,
,"2012 ERP age 15-19, %",2.3,,
,"2012 ERP age 20-24, persons",225,,
,"2012 ERP age 20-24, %",7.2,,
,"2012 ERP age 25-44, persons","1,472",,
,"2012 ERP age 25-44, %",47.2,,
,"2012 ERP age 45-64, persons",779,,
,"2012 ERP age 45-64, %",25.0,,
,"2012 ERP age 65-69, persons",112,,
,"2012 ERP age 65-69, %",3.6,,
,"2012 ERP age 70-74, persons",49,,
,"2012 ERP age 70-74, %",1.6,,
,"2012 ERP age 75-79, persons",41,,
,"2012 ERP age 75-79, %",1.3,,
,"2012 ERP age 80-84, persons",39,,
,"2012 ERP age 80-84, %",1.3,,
,"2012 ERP age 85+, persons",29,,
,"2012 ERP age 85+, %",0.9,,
,"2012 ERP, total","3,116",,
2007 population,"2007 ERP age 0-4, persons",113,,
,"2007 ERP age 0-4, %",3.4,,
,"2007 ERP age 5-9, persons",96,,
,"2007 ERP age 5-9, %",2.9,,
,"2007 ERP age 10-14, persons",78,,
,"2007 ERP age 10-14, %",2.3,,
,"2007 ERP age 15-19, persons",81,,
